date,location,event,participants_on_record,source_urls,notes,deep_search_event,deep_search_notes
2025-09-03,Washington DC (U.S. Capitol),C‑SPAN Program: Survivors of Jeffrey Epstein Press Conference,Members of Congress; survivors,https://www.c-span.org/,Awaiting direct program URL and Program ID,pending,Add C‑SPAN Program ID; add transcript link if available; map speaker timestamps
2025-09-03,Washington DC (U.S. Capitol),C‑SPAN Program: House Members News Conference on Epstein Records,Rep. Ro Khanna; Rep. Thomas Massie; other members,https://www.c-span.org/,Awaiting direct program URL and Program ID,pending,Add C‑SPAN Program ID; extract podium order; link closed captions
2025-09-03,Washington DC (U.S. Capitol),C‑SPAN Clip: Survivor Statements (Clip A),Survivors (group A),https://www.c-span.org/,Clip placeholder,pending,Insert specific Clip ID; add timecodes; confirm speakers
2025-09-03,Washington DC (U.S. Capitol),C‑SPAN Clip: Survivor Statements (Clip B),Survivors (group B),https://www.c-span.org/,Clip placeholder,pending,Insert specific Clip ID; add timecodes; confirm speakers
2025-09-02,Washington DC (House Oversight),"Committee Release: DOJ Production (33,295 pages) – Direct Post",U.S. House Committee on Oversight and Accountability; DOJ,https://oversight.house.gov/,Replace with direct press release URL/permalink,pending,Find permalink; capture publication time; attach PDF filename list
2025-09-08,Washington DC (House Oversight),Committee Release: Estate Production – Direct Post,House Oversight; Epstein Estate,https://oversight.house.gov/,Replace with direct press release URL/permalink,pending,Find permalink; note document inventory; add attachment links
2025-10-17,Washington DC (House Oversight),Committee Release: Additional Batch (Acosta interview; calendars/call logs) – Direct Post,House Oversight; Alex Acosta (interview),https://oversight.house.gov/,Replace with direct press release URL/permalink,pending,Find direct document page(s); record transcript page count; list file names
2025-10-10,Washington DC (House Oversight),Committee Materials Index/FAQ (if posted) – Direct Post,House Oversight staff,https://oversight.house.gov/,Placeholder for materials index or FAQ permalink,pending,Locate and paste direct URL; note sections and downloadable assets
2025-10-17,Washington DC (PBS),PBS NewsHour Segment: Coverage of Oct 17 Committee Release – Transcript,PBS NewsHour editorial team,https://www.pbs.org/newshour/,Replace with direct segment/transcript page,pending,Find segment page; add transcript URL; capture rundown ID
2025-09-03,Washington DC (PBS),PBS NewsHour Field Package: Capitol Pressers – Transcript,Lisa Desjardins; PBS NewsHour,https://www.pbs.org/newshour/,Replace with direct segment/transcript page,pending,Find package page; add transcript URL; include producer credits
2025-09-03,Washington DC (Major Networks),Network Evening News Roundups – Transcripts,ABC/CBS/NBC producers,https://abcnews.go.com/;https://www.cbsnews.com/;https://www.nbcnews.com/,Replace with specific transcript pages,pending,Collect transcript links; note air times; add closed caption references
2019-07-07,New York NY (Federal Court),Reuters Gallery: Arrest/Initial Appearance – Specific Gallery URL,Reuters photojournalists,https://www.reuters.com/world/us/,Replace with specific gallery/asset slug or ID,pending,Add gallery slug/ID; list photographer bylines; caption sample
2019-07-10,New York NY (Federal Court),Reuters Gallery: Detention/Bail Proceedings – Specific Gallery URL,Reuters photojournalists,https://www.reuters.com/world/us/,Replace with specific gallery/asset slug or ID,pending,Add gallery slug/ID; list photographer bylines; caption sample
2019-07-20,Little St. James USVI,Reuters Aerials: Island Facilities/Topography – Specific Gallery URL,Reuters (Marco Bello),https://www.reuters.com/world/americas/,Replace with specific gallery/asset slug or ID,pending,Add asset ID; record caption keywords; link related copy
